date,open,high,low,close,volume
2025-02-17,5263.0,5275.95,5142.0,5241.9,252290
2025-02-18,5440.0,5515.0,5093.0,5142.05,3924895
2025-02-19,5089.95,5193.95,5019.75,5123.85,938108
2025-02-20,5100.0,5356.0,5072.0,5344.65,757479
2025-02-21,5327.0,5365.95,5185.05,5291.4,597090
2025-02-24,5248.2,5409.0,5194.9,5389.95,557026
2025-02-25,5389.0,5391.9,5241.45,5301.8,415818
2025-02-27,5301.8,5317.7,5105.2,5144.7,541660
2025-02-28,5110.0,5119.0,4918.0,4935.4,784607
2025-03-03,4954.8,5145.0,4890.0,5088.3,558162
2025-03-04,5000.0,5212.0,5000.0,5191.4,506485
2025-03-05,5100.0,5356.0,5100.0,5312.3,445752
2025-03-06,5342.0,5432.0,5283.6,5370.0,532908
2025-03-07,5370.0,5370.05,5280.0,5326.55,482112
2025-03-10,5328.0,5410.75,5139.65,5160.3,342786
2025-03-11,5100.0,5182.0,5080.0,5129.3,549888
2025-03-12,5154.35,5178.6,5035.0,5139.7,222937
2025-03-13,5152.0,5304.7,5111.0,5118.55,367022
2025-03-17,5160.0,5218.45,5101.0,5187.65,276511
2025-03-18,5216.95,5425.0,5216.95,5410.9,508165
2025-03-19,5432.6,5512.8,5346.75,5475.6,580679
2025-03-20,5500.0,5505.6,5340.65,5460.7,442929
2025-03-21,5469.95,5572.65,5433.4,5457.5,685475
2025-03-24,5471.15,5598.0,5471.15,5532.2,310148
2025-03-25,5593.0,5594.95,5397.5,5414.15,265207
2025-03-26,5454.2,5622.85,5407.55,5523.7,729146
2025-03-27,5485.0,5578.45,5445.05,5540.35,403518
2025-03-28,5559.95,5625.0,5503.75,5546.25,420034
2025-04-01,5539.5,5548.0,5373.0,5399.15,380081
2025-04-02,5425.2,5431.9,5211.1,5313.15,682715
2025-04-03,5250.0,5354.15,5242.7,5327.3,224578
2025-04-04,5325.0,5331.05,5075.7,5095.9,457097
2025-04-07,4684.45,5022.35,4684.45,4963.55,765239
2025-04-08,5041.05,5119.95,4970.0,5064.4,304029
2025-04-09,5074.0,5090.9,4970.0,5036.2,353532
2025-04-11,5149.5,5173.95,5052.05,5143.3,416323
2025-04-15,5220.0,5288.5,5158.5,5246.5,334196
2025-04-16,5280.0,5457.5,5252.5,5379.5,566818
2025-04-17,5422.5,5645.0,5294.5,5571.5,1143784
2025-04-21,5678.5,5699.0,5519.0,5629.0,684672
2025-04-22,5649.0,5704.0,5591.5,5682.5,325345
2025-04-23,5715.0,5792.0,5609.0,5713.0,376059
2025-04-24,5720.0,5733.0,5621.5,5688.5,374809
2025-04-25,5698.0,5708.5,5385.0,5499.0,638225
2025-04-28,5499.0,5558.5,5459.0,5536.0,205197
2025-04-29,5582.0,5625.0,5560.0,5583.5,224766
2025-04-30,5590.0,5604.0,5469.0,5522.5,316444
2025-05-02,5505.0,5531.0,5420.0,5451.0,241380
2025-05-05,5499.0,5504.5,5415.5,5487.5,241475
2025-05-06,5500.0,5500.0,5310.0,5334.0,400370
2025-05-07,5270.5,5445.0,5270.0,5397.5,270305
2025-05-08,5402.0,5439.5,5210.0,5287.5,345691
2025-05-09,5190.0,5468.0,5190.0,5440.5,321841
2025-05-12,5515.0,5715.0,5472.5,5587.0,669665
2025-05-13,5590.0,5699.0,5528.0,5636.5,638165
2025-05-14,5620.0,5745.0,5591.5,5635.0,400038
2025-05-15,5640.0,5747.5,5608.0,5735.0,356216
2025-05-16,5745.0,5866.0,5701.0,5820.0,418266
2025-05-19,5869.5,5913.0,5824.0,5838.0,181786
2025-05-20,5897.5,5898.0,5710.0,5738.5,444180
2025-05-21,5750.0,5899.5,5722.0,5886.5,266662
2025-05-22,5893.5,5959.0,5826.5,5924.0,286074
2025-05-23,5950.0,5989.5,5875.0,5961.0,208138
2025-05-26,5965.0,6048.0,5965.0,5996.5,219984
2025-05-27,6000.0,6050.0,5958.0,6014.5,244514
2025-05-28,6014.5,6062.0,5981.0,6015.0,160963
2025-05-29,6015.0,6070.0,5986.5,6043.5,160875
2025-05-30,6080.0,6118.0,5945.5,5971.0,296253
2025-06-02,5960.0,5990.5,5891.0,5974.5,159034
2025-06-03,5974.5,6080.0,5966.0,5995.0,197089
2025-06-04,6009.0,6050.0,5970.0,6041.5,171316
2025-06-05,6041.0,6080.0,6010.0,6031.5,135626
2025-06-06,6069.5,6175.5,6026.5,6051.5,336263
2025-06-09,6093.5,6240.5,6071.0,6215.0,270782
2025-06-10,6260.0,6260.0,6160.0,6168.0,207893
2025-06-11,6190.0,6195.0,6034.0,6077.0,294907
2025-06-12,6079.0,6099.0,5975.0,6021.0,369396
2025-06-13,5890.0,6017.5,5885.0,5999.0,220342
2025-06-16,6001.0,6045.0,5941.0,6014.0,133245
2025-06-17,6040.0,6084.0,6014.0,6034.5,101944
2025-06-18,6001.0,6089.5,6000.0,6044.0,165662
2025-06-19,6044.0,6068.5,5850.0,5869.0,130952
2025-06-20,5897.0,5991.0,5853.5,5968.5,241725
2025-06-23,5900.0,5959.0,5880.0,5923.5,88496
2025-06-24,5975.0,6067.0,5940.5,6003.5,228616
2025-06-25,6051.0,6065.0,5941.0,5966.5,138938
2025-06-26,5985.0,6025.0,5953.0,6012.5,110098
2025-06-27,6060.0,6175.0,6030.0,6069.5,241168
2025-06-30,6090.0,6133.5,6060.0,6080.5,157658
2025-07-01,6114.5,6144.5,5921.5,5949.5,365605
2025-07-02,5979.0,5989.5,5842.0,5906.0,284183
2025-07-03,5930.0,5938.5,5862.5,5871.5,193225
2025-07-04,5892.0,5901.5,5841.0,5862.0,153889
2025-07-07,5862.0,5862.0,5802.0,5844.0,89857
2025-07-08,5848.0,5885.0,5822.0,5840.0,242940
2025-07-09,5840.5,5940.0,5821.0,5898.0,204872
2025-07-10,5898.0,5929.0,5826.5,5893.5,189571
2025-07-11,5880.0,5897.0,5718.0,5756.5,280804
2025-07-14,5756.5,5782.5,5577.0,5647.5,456678
2025-07-15,5679.5,5725.0,5590.5,5608.0,454138
2025-07-16,5608.0,5618.0,5502.5,5551.0,590118
2025-07-17,5568.0,5664.0,5468.0,5637.5,1071876
2025-07-18,5684.0,5727.5,5630.5,5646.5,425486
2025-07-21,5666.0,5845.5,5635.5,5836.0,428913
2025-07-22,5850.5,5872.0,5731.0,5755.0,346363
2025-07-23,5771.5,5788.0,5675.0,5711.0,186980
2025-07-24,5711.0,5734.5,5655.0,5699.0,116292
2025-07-25,5699.0,5710.0,5610.5,5643.0,340538
2025-07-28,5640.0,5644.0,5525.0,5545.5,265335
2025-07-29,5545.0,5592.0,5478.0,5579.0,209954
2025-07-30,5610.0,5610.0,5470.0,5554.0,331867
2025-07-31,5510.0,5574.5,5489.5,5510.0,255793
2025-08-01,5539.0,5539.0,5360.5,5387.5,382061
2025-08-04,5310.0,5364.0,5014.5,5092.5,1957165
2025-08-05,5070.0,5099.0,5019.5,5084.0,614211
2025-08-06,5124.0,5124.0,5024.5,5097.0,385429
2025-08-07,5092.5,5140.0,5017.0,5118.5,355953
