date,open,high,low,close,volume
2025-02-17,703.85,708.75,677.4,702.0,2394243
2025-02-18,706.8,706.8,668.0,677.15,2968321
2025-02-19,667.1,681.9,660.0,670.65,1883969
2025-02-20,669.9,686.5,662.35,678.0,1271876
2025-02-21,680.95,695.7,667.2,670.95,1211108
2025-02-24,670.0,680.7,656.65,669.6,1237728
2025-02-25,672.3,686.35,665.7,669.7,1654419
2025-02-27,673.5,678.45,660.0,661.7,1109229
2025-02-28,661.7,673.35,648.05,650.9,1766312
2025-03-03,652.55,664.05,639.45,654.05,1160382
2025-03-04,649.45,660.6,641.15,646.65,1074477
2025-03-05,647.0,731.5,646.0,709.45,6265335
2025-03-06,719.0,746.6,707.6,733.25,4897354
2025-03-07,730.0,753.9,724.0,747.6,2622387
2025-03-10,747.0,790.0,738.0,759.1,6861685
2025-03-11,745.0,768.0,742.0,761.05,2785862
2025-03-12,765.0,784.9,744.05,781.75,2734197
2025-03-13,783.8,795.95,776.85,783.2,2201144
2025-03-17,779.8,801.15,776.8,795.05,1850753
2025-03-18,800.7,807.8,786.3,798.55,1344527
2025-03-19,801.1,820.65,799.15,813.9,1417575
2025-03-20,820.0,823.0,800.9,815.1,1286932
2025-03-21,815.0,846.95,811.85,831.7,2711820
2025-03-24,838.75,844.7,817.55,820.25,1808999
2025-03-25,822.0,838.9,812.35,816.55,2713855
2025-03-26,817.05,832.6,800.5,803.0,2042407
2025-03-27,803.0,882.45,796.05,872.85,8208182
2025-03-28,872.85,894.9,864.0,872.0,3727492
2025-04-01,857.4,884.9,856.1,866.35,1899810
2025-04-02,864.7,871.0,839.3,867.9,1554834
2025-04-03,855.0,901.0,855.0,884.35,2165750
2025-04-04,881.1,884.7,852.1,859.4,1475762
2025-04-07,780.5,822.2,780.5,815.05,2669587
2025-04-08,835.0,847.85,826.85,841.15,1707784
2025-04-09,835.35,845.0,827.6,837.4,1026681
2025-04-11,860.7,863.35,833.75,844.8,1878535
2025-04-15,855.65,889.6,851.45,887.4,2537147
2025-04-16,884.9,903.0,881.05,895.15,2669664
2025-04-17,896.05,937.0,891.65,914.15,3849304
2025-04-21,924.0,949.0,915.45,937.5,2153406
2025-04-22,941.9,942.75,926.0,929.6,1654173
2025-04-23,935.7,942.15,901.6,938.8,2500136
2025-04-24,940.0,971.7,935.0,961.7,3695638
2025-04-25,978.0,981.0,905.9,914.35,5736784
2025-04-28,914.0,941.6,904.0,925.3,2404027
2025-04-29,929.9,939.85,912.05,917.65,1466481
2025-04-30,919.7,919.7,892.0,899.65,1191673
2025-05-02,900.05,929.85,900.05,907.15,2065515
2025-05-05,911.0,980.85,909.95,937.2,5711254
2025-05-06,939.0,941.5,901.1,907.4,2569364
2025-05-07,878.0,907.0,865.1,871.6,5712060
2025-05-08,880.05,886.7,826.3,839.0,3262818
2025-05-09,811.0,834.6,806.1,827.1,2639860
2025-05-12,860.0,897.65,851.05,894.3,3286835
2025-05-13,890.0,908.9,885.25,904.2,2246532
2025-05-14,903.95,903.95,886.0,890.8,1929234
2025-05-15,894.95,913.55,884.05,910.8,1755815
2025-05-16,912.1,934.75,908.05,915.05,2288025
2025-05-19,920.0,920.8,886.0,888.9,2120510
2025-05-20,894.45,897.55,866.55,869.75,1301836
2025-05-21,869.9,881.0,860.5,872.15,1239047
2025-05-22,869.0,886.4,864.35,879.0,1121955
2025-05-23,884.5,884.5,871.1,876.55,816889
2025-05-26,877.95,891.0,875.9,878.7,966027
2025-05-27,880.0,890.4,874.25,879.15,1772369
2025-05-28,881.8,890.85,865.75,869.0,990253
2025-05-29,877.7,898.2,869.4,880.95,2045238
2025-05-30,881.05,889.45,862.0,867.2,1258500
2025-06-02,874.8,888.2,872.05,874.85,1911879
2025-06-03,876.55,877.75,854.0,856.55,5811649
2025-06-04,860.5,873.5,851.55,866.0,5947467
2025-06-05,869.95,883.0,864.05,872.2,5723306
2025-06-06,875.65,892.5,872.45,884.1,6679702
2025-06-09,888.5,908.4,876.0,901.4,6802393
2025-06-10,907.15,921.0,896.45,915.5,8134942
2025-06-11,919.85,924.35,895.0,904.5,5473555
2025-06-12,908.4,909.95,868.05,876.95,3852260
2025-06-13,860.0,871.75,851.7,861.0,4262332
2025-06-16,861.0,871.0,849.45,865.7,2424281
2025-06-17,866.0,867.35,846.05,848.85,1247192
2025-06-18,848.95,858.55,834.6,846.45,1943400
2025-06-19,845.0,849.05,818.0,823.6,1666745
2025-06-20,826.0,840.9,823.35,828.1,6345674
2025-06-23,817.95,842.55,817.8,837.2,1079104
2025-06-24,852.0,866.6,848.0,851.85,1922183
2025-06-25,856.35,863.7,847.05,850.2,2316935
2025-06-26,854.25,866.5,851.0,864.75,2717149
2025-06-27,865.0,900.85,863.0,883.7,3118143
2025-06-30,886.0,887.45,874.7,881.75,1673237
2025-07-01,884.0,892.3,871.0,872.4,1874380
2025-07-02,876.0,888.85,869.4,878.8,2946152
2025-07-03,878.85,882.15,867.55,875.25,3905266
2025-07-04,875.8,884.0,867.15,877.2,4081958
2025-07-07,876.0,887.55,871.05,883.35,3740997
2025-07-08,886.0,892.5,876.0,881.25,2733928
2025-07-09,886.7,904.5,885.55,890.15,3094384
2025-07-10,893.9,907.7,887.0,891.05,1367248
