date,open,high,low,close,volume
2025-02-17,534.95,535.15,516.7,522.05,3180759
2025-02-18,523.0,524.6,499.0,502.4,8809316
2025-02-19,503.0,528.65,492.7,525.65,11218538
2025-02-20,525.0,538.95,521.65,535.05,1068810
2025-02-21,534.95,540.05,524.55,537.6,1790208
2025-02-24,535.9,539.9,530.25,533.0,1090810
2025-02-25,535.7,536.65,522.4,524.25,1093537
2025-02-27,535.0,559.25,524.25,556.7,9452200
2025-02-28,550.0,569.0,549.15,565.7,5285029
2025-03-03,565.45,568.5,551.65,557.6,1153314
2025-03-04,550.05,554.8,546.5,548.35,1313139
2025-03-05,548.4,551.45,541.25,546.45,1474686
2025-03-06,554.0,557.35,548.6,553.2,1553346
2025-03-07,553.5,554.65,540.2,544.3,1916647
2025-03-10,543.7,551.5,537.0,538.85,2131103
2025-03-11,531.85,531.85,513.65,522.1,2522700
2025-03-12,522.85,523.9,499.5,507.2,2676145
2025-03-13,508.4,514.4,501.0,502.85,2271528
2025-03-17,503.7,505.4,489.45,491.8,3628157
2025-03-18,495.8,507.4,478.35,504.0,4908953
2025-03-19,506.0,530.5,505.5,525.8,2859237
2025-03-20,525.05,534.35,510.1,525.25,2151278
2025-03-21,527.9,545.6,525.65,542.8,3193144
2025-03-24,543.45,555.55,542.15,550.05,2777258
2025-03-25,551.9,561.35,550.0,557.9,4004101
2025-03-26,565.0,580.35,563.55,573.75,8030660
2025-03-27,569.55,573.75,544.2,554.4,10765998
2025-03-28,559.0,562.1,530.75,534.6,3118677
2025-04-01,532.9,543.5,528.05,529.9,2210272
2025-04-02,535.0,540.6,521.65,539.5,1932324
2025-04-03,531.0,565.7,531.0,563.45,4674160
2025-04-04,559.85,559.85,544.7,552.1,2024869
2025-04-07,515.0,552.95,513.5,541.7,1814337
2025-04-08,550.0,552.5,543.05,545.6,1450103
2025-04-09,548.0,557.85,540.0,554.3,1862435
2025-04-11,560.0,564.85,550.85,557.1,2454627
2025-04-15,565.0,579.1,553.25,576.0,3321684
2025-04-16,575.95,583.5,566.0,582.35,2741238
2025-04-17,582.35,591.3,576.4,586.55,2759263
2025-04-21,592.8,641.75,592.0,623.6,9059537
2025-04-22,623.8,626.8,610.5,613.8,4335283
2025-04-23,620.0,669.9,620.0,665.45,20564151
2025-04-24,658.5,694.8,655.6,681.05,11937594
2025-04-25,681.0,681.0,662.4,675.15,4093320
2025-04-28,673.0,690.0,665.05,688.4,3906817
2025-04-29,690.0,713.0,690.0,706.05,5340417
2025-04-30,707.0,707.0,675.85,678.6,3436267
2025-05-02,680.0,688.45,674.25,676.4,4553653
2025-05-05,666.0,683.45,655.5,678.6,11773963
2025-05-06,679.5,688.0,668.6,671.75,2322138
2025-05-07,665.05,688.5,663.45,687.6,2398908
2025-05-08,688.0,711.0,685.9,689.0,3156954
2025-05-09,675.0,690.85,671.6,687.0,3087519
2025-05-12,705.0,707.65,696.65,703.4,3381357
2025-05-13,703.4,706.1,695.9,699.75,1496327
2025-05-14,700.0,700.75,688.25,690.5,1922009
2025-05-15,691.0,697.2,688.0,690.1,1452358
2025-05-16,692.7,693.6,683.05,684.85,723860
2025-05-19,688.0,690.5,683.65,686.65,770078
2025-05-20,689.9,695.1,684.0,687.5,1676816
2025-05-21,691.5,693.75,680.7,692.9,1572397
2025-05-22,689.6,693.4,682.55,689.15,713271
2025-05-23,689.15,699.4,687.0,696.2,1098715
2025-05-26,699.0,708.55,692.45,698.9,1125692
2025-05-27,710.0,715.0,694.3,701.2,2969182
2025-05-28,701.2,709.5,698.2,706.45,2873400
2025-05-29,707.0,708.85,695.3,698.25,2742561
2025-05-30,698.3,703.95,690.3,693.05,4271143
2025-06-02,695.0,721.0,691.9,718.65,6542677
2025-06-03,725.0,731.0,716.1,728.3,3563158
2025-06-04,728.0,738.0,720.0,725.2,2257807
2025-06-05,730.0,730.0,713.2,720.05,2082775
2025-06-06,720.0,755.5,712.3,749.55,4971098
2025-06-09,755.0,782.6,750.25,772.0,7511827
2025-06-10,772.5,779.3,760.15,765.4,4063938
2025-06-11,766.0,781.75,766.0,773.95,3419378
2025-06-12,775.0,785.0,772.2,778.7,2960859
2025-06-13,769.95,772.75,757.0,768.6,1774265
2025-06-16,768.5,783.5,758.8,781.45,1525817
2025-06-17,781.45,783.95,771.3,773.15,1306248
2025-06-18,773.15,798.5,765.0,794.5,3708945
2025-06-19,798.5,808.0,787.75,790.1,4235907
2025-06-20,790.1,798.85,784.6,795.35,2109976
2025-06-23,797.7,802.0,789.35,796.55,2615512
2025-06-24,802.0,805.85,790.65,800.7,1329371
2025-06-25,802.0,810.9,794.25,807.05,2237498
2025-06-26,811.0,824.0,806.15,819.7,5819183
2025-06-27,821.0,821.0,803.65,809.0,4459909
2025-06-30,813.8,822.25,808.8,817.5,2397545
2025-07-01,820.0,840.0,820.0,838.35,3760593
2025-07-02,840.0,841.0,816.0,818.25,2504958
2025-07-03,820.0,822.1,809.55,811.85,3218187
2025-07-04,814.9,820.9,807.0,819.5,880959
2025-07-07,819.55,824.45,810.0,813.85,1752800
2025-07-08,813.85,821.2,802.0,819.85,2002070
2025-07-09,822.5,827.45,817.0,825.75,1513929
2025-07-10,825.8,829.55,821.0,828.2,988688
2025-07-11,828.3,832.75,817.05,821.0,1767939
2025-07-14,805.3,814.75,797.15,804.95,2464428
2025-07-15,804.0,820.8,801.1,810.05,2159391
2025-07-16,812.05,814.55,795.2,797.75,1599610
2025-07-17,797.75,802.5,788.35,796.95,1772879
2025-07-18,796.95,801.0,786.05,794.9,1502394
2025-07-21,770.0,770.0,735.2,752.9,11588986
2025-07-22,752.95,753.8,724.25,725.8,4668078
2025-07-23,726.2,738.9,721.4,736.75,3208507
2025-07-24,736.75,746.55,732.3,745.45,2296317
2025-07-25,743.1,747.8,727.45,733.4,1485353
2025-07-28,728.5,737.9,725.0,727.35,1906629
2025-07-29,727.9,741.8,727.0,739.95,2061754
2025-07-30,739.5,754.1,735.0,746.3,3045837
2025-07-31,742.75,749.75,736.75,741.5,3573228
2025-08-01,741.5,751.45,739.05,741.05,2251668
2025-08-04,741.05,755.85,740.0,752.25,2681209
2025-08-05,754.0,755.85,739.5,742.65,1593070
2025-08-06,744.9,745.0,722.7,735.2,1556317
2025-08-07,735.0,746.0,724.5,743.25,1110408
2025-08-08,800.0,800.0,736.0,739.0,12715309
2025-08-11,742.05,743.0,726.3,734.25,2891298
2025-08-12,735.95,741.15,721.8,724.8,2828419
2025-08-13,730.0,742.5,728.95,738.0,1328439
2025-08-14,744.0,752.55,740.55,750.6,2621099
2025-08-18,755.0,773.35,753.0,761.55,1873223
2025-08-19,760.0,765.0,754.15,758.5,826929
2025-08-20,758.5,761.0,745.3,759.15,1188698
2025-08-21,759.6,760.65,751.15,752.2,542497
2025-08-22,751.2,760.0,739.55,742.05,980129
2025-08-25,738.0,753.25,738.0,749.6,1711315
2025-08-26,750.0,750.9,740.25,745.25,2429502
2025-08-28,745.3,751.95,728.0,729.25,1467576
2025-08-29,726.0,731.9,716.3,718.05,3090760
2025-09-01,721.1,727.35,716.5,721.55,1187277
2025-09-02,722.05,724.5,704.2,708.3,3178457
2025-09-03,710.0,716.2,709.05,713.95,997652
2025-09-04,716.0,718.8,692.8,696.25,5466938
2025-09-05,700.0,700.0,682.15,694.3,2961695
2025-09-08,696.55,703.8,694.3,699.75,1949781
2025-09-09,698.0,699.75,694.85,697.45,898505
2025-09-10,702.0,715.0,695.65,713.8,3846563
2025-09-11,714.4,714.4,709.0,710.95,1045318
2025-09-12,710.95,718.2,705.75,706.65,1740388
2025-09-15,708.0,715.0,699.2,713.4,2009111
2025-09-16,716.5,720.5,709.2,711.2,2510810
2025-09-17,710.0,712.2,698.3,708.75,3506666
2025-09-18,713.05,722.3,708.1,719.65,2453800
2025-09-19,719.65,724.0,711.25,718.7,3207374
2025-09-22,719.9,719.9,703.85,706.05,1519343
2025-09-23,710.0,734.05,708.9,731.65,5080969
2025-09-24,730.0,743.4,727.4,736.15,3424417
2025-09-25,733.25,747.55,730.2,741.6,1527974
2025-09-26,749.5,759.75,741.5,743.2,4071836
2025-09-29,744.1,755.0,729.45,738.4,3008287
2025-09-30,738.0,740.2,728.8,731.4,3387971
2025-10-01,728.0,741.4,719.05,724.55,3802747
2025-10-03,722.05,743.7,720.7,741.9,1744199
2025-10-06,748.05,764.4,745.0,762.95,2447302
2025-10-07,765.5,766.6,756.55,764.0,2437438
2025-10-08,765.0,772.4,751.65,767.7,3344639
2025-10-09,770.0,771.0,756.1,760.0,1723753
2025-10-10,757.7,765.65,755.15,763.25,949662
2025-10-13,771.15,776.7,760.75,767.1,2154436
2025-10-14,767.1,776.5,762.35,772.65,2260560
2025-10-15,776.5,807.0,776.1,802.1,3804314
2025-10-16,801.25,814.0,795.0,798.5,1864887
2025-10-17,796.95,802.45,785.05,792.45,4814241
